Tweets,Sentiment
@BeckettUnite What about a ban on mineral water companies (I have three near me) who abstract huge amounts of our water put it into plastic bottles then transport it miles around the country?,Positive
Ange not wanting to risk a few players on that joke of a pitch tomorrow I still don’t get why a vote wasn’t brought up last season to ban plastic pitches from the top league the 11-1 vote was there too be won🤷‍♀️,Positive
@thebhutanese @TashidelekN Rwanda in Africa bans all the Plastic Bags. Ban beer and cola cans now and the environment will be happy.,Positive
@RONBupdates Strict ban on single use plastic bags must be implemented.,Negative
@friendlyjordies Can we get her to ban the supermarkets from making those infinitely shit plastic abominations such as the “mini-collectables” then too?,Negative
Scotland's single-use plastic ban will be exempt from the UK Internal Market Act from 12 August 2022 allowing the ban to be fully effective. @CleanerJoburg @CityofJoburgZA @JoburgParksZoo @AngelaLudek @Climatehope2 @ConnectAID_fr @WCCA8 @WaterCANsa @SAClimateAction @Sdg13Un https://t.co/ZTPovLTEhk,Positive
So excited to see our partnership with @PlasticRescueAU featured by @PKNpackagingmag! We're helping #SMBs recycle materials affected by New South Wales plastic ban to reduce the waste going to landfill. https://t.co/GaKdhp6i6M,Positive
Plastic makers ask court to end planned federal ban on single-use plastic products | TBEN News https://t.co/OrjBPyxDMM,Neutral
@dlacalle_IA @mises They ban real energy before they have the batteries to store/support renu energy. It takes more resources to produce/get rid of renu energy. While there is a plastic trash dump in the ocean. Something isn’t adding up.,Positive
@BonninMike @mikebonin Culver Citys former mayor an councilwoman Meghan Sahli Wells is a prime member of this Sierra Club..this is not a good endorsement unless you want more squatters on every corner and the preserve further destroyed fake environmentalists who ban plastic straws not human waste!,Negative
@ZubyMusic Still trying to figure out why we don’t ban plastic bottles. Trying to figure out why they want wind turbines even when they kill millions of birds. Even Bill Gates is developing nuclear energy for China. What do I know though?,Neutral
"@Swiftie01 @ByGeorgeJournal As will his plastic straw ban. 

https://t.co/bi2G5Cz6p3",Neutral
@JustAwHirsi I applaud that move 👏🏾  also ban plastic if possible,Neutral
"@DrDeanMitchell1 @WetTribe As I remember it's considered a bioaccumulator in that they absorb toxins and release them once exposed to the digestive process.

It's one reason so much of our ocean wildlife is dying off and/or virtually inedible.

We should ban most plastic at the source.",Positive
"@WiltsHuntSabs @HuntSabs Look at that man-it's put a plastic coat on top of the dogs fur coat on one of the hottest days of the year what a cruel inhumane lump of lard he truly is &amp; I bet he hasn't got any water for that poor dog either😡😢

The RSPCA should prosecute him&amp;ban him fm owning dogs for life",Negative
"@BagalueSunab ""Industry opposition to regulating #plastics is out of step with science &amp; public opinion:
""90% of people across #Canada support a ban on single-use #plastics; 2/3 want the proposed ban expanded to include more harmful plastic products."" | @Oceana
https://t.co/BbIfCErj0A",Positive
@BeckettUnite How about a ban on single use plastic bottled water bottles for which the companies that bottle the water pay next to nothing for the water https://t.co/zMq0uEX7d5,Negative
"Plastics producers asking court to stop planned federal ban on single-use plastic products | @DawnRoseTurner   
More than two dozen plastic makers are asking the Federal Court to put an end to Ottawa's plan to ban  ....  
https://t.co/KJ2nyqCk5f",Positive
"Scotland's single-use plastics ban: fully effective from 12 August 2022 

Scotland's single-use plastic ban will be exempt from the UK Internal Market Act from 12 August 2022 allowing the ban to be fully effective.

https://t.co/j7W2q4XkmX",Positive
Definitely ready to contribute. Congrats Wasiir— Also make sure you ban plastic bags completely. Hada ayay rageedi heshay. https://t.co/0Nh1ofWCzX,Positive
@AlisonGConroy Ban plastic pitches.,Neutral
@FuelJuiceBars Hey love your smoothies but when will you be complying with the Scottish legislation on single use plastics? Still selling Polystyrene cups &amp; plastic covers today (12th). https://t.co/KgUNeShOnQ @ZeroWasteScot  @UnionSqAberdeen @AberdeenCC @MaggieChapman @IanYuill https://t.co/Sd9l6glgYY,Positive
@marksporter @Sotlive Was speaking to a pub landlord the other week and the ban on letting people drink from plastic glasses on the street (even in designated areas) isn’t particularly helpful either. It sounds like @Police_PVFC need to engage with local businesses.,Positive
"@SuellaCee @Ricaaduh I learnt something! The ban was on ""single use"" plastic bags. This competition should be a bi annual one. It was so much fun. @dennisbroox was a perfect moderator",Positive
"@Reuters We MUST BAN products services &amp; processes right now:
Leaf Blowers
STOP unnecessary Tree removal
Aerosols-suntan &amp; cleaners
Asphalt Slurry
Balloons
Single-use Plastic-straws utensils take out
Astroturf -plastic Grass
Plastic-wrap vegetables/fruits
Trash bags-wash garbage cans!",Negative
"@TheMontyDon Excellent.
Hopefully climate change lecture free.

But in terms of the environment please ban people from wearing rubber/plastic gloves from the programme.
It is profoundly anti-nature...",Positive
".@macallister_dm and myself had a look about Aberdeen/Inverness takeaways/chippers today to see how many are following the Scottish single use plastic ban now it is in full force.
 (PS It's only chippie in the headline because Donna wrote it!#TeamChipper) https://t.co/6ZoC6oCBIA",Positive
@KariLakeWarRoom It is none of your phucking business what a woman does to her body. You have obviously had major plastic surgery lets ban that.,Positive
Bima Arya mayor of Bogor West Java said that the administration’s move to ban single-use plastic bags in traditional markets faced challenges in its public reception. #jakpost https://t.co/F8hckgGYUW,Neutral
"Reminds me of Bush when he was reading to kids and advised about 911. Looked absolutely clueless just like Trudeau does here.  
Trudeau - teenagers working at fast food outlets think your plastic straw ban served with a plastic cup is completely stupid. https://t.co/EYbCLrT2Qp",Negative
@severedkite @Agrimonious Bhai.... Malai ban jaati nimbu paani mein... And kya hi kar lenge utne se plastic bacha ke....,Neutral
@DavidGriscom Idk I feel like this incarnation of Degrowth that sounds like the worst parts of Plastic-Straw-Ban Consumer Activism flavored like Third Worldism probably shouldn't be taken as the movement's default position.,Negative
Ban plastic 👍 https://t.co/TDt8Kxyrsz,Neutral
Not surprisingly water bottles and other plastic beverage containers are still missing from the list - lobby efforts were clearly successful. You can be sure crap from China will still use plastic packaging.  Virtue signalling… #cdnpoli  https://t.co/q4wUOX8jDZ,Negative
"The @RPUC_CA has sued to block the federal government’s plan to ban several single-use #plastic items including straws cutlery and takeout containers

https://t.co/wdwp8mCGiR",Neutral
"More than two dozen plastic makers are asking the Federal Court to put an end to Ottawa’s plan to ban several single-use plastic items. #sustainability #plastic #procurement
https://t.co/t4KfBLDae9",Positive
"@AlisonGConroy It's not something clubs can prove. But players all know it is detrimental.

It's a sham. They had the opportunity last season to ban plastic pitches with an 11 to 1 vote.
I'd 🔥 rugby park down It's a total disgrace.
Couldn't give a fuck about their finances.
Grass pitch only",Negative
if black plastic containers are a nuisance then why not ban them? or focus on a facility that only recycles black plastic? https://t.co/Ej9EVnkuKr,Negative
Plastic makers want the Federal Court to end the ban on single-use plastic items. https://t.co/4ixdLA6hMg via @RebelNewsOnline,Neutral
"IN THE SEAS
https://t.co/4dkRVvNmX0 https://t.co/GAYjI29kvQ",Neutral
"Scotland's single-use plastic ban is fully effective from today (12th August)
https://t.co/B4AZQtPA47",Positive
@MartinKulldorff @lizrob92 @VandiverAuthor Ban plastic straws to save the turtles  means we have to Ban regular face masks in favor of biodegradable face masks we must protect the eagles 🦅.,Neutral
This is just one country... when it is collective the statistics would be alarmingly higher... we need to ban single-use plastics from curbing plastic pollution and saving our ecosystem... let's just do it! #climateandcorporate #achievesustainability #actnow #savetheplanet https://t.co/WbPDGCwEVB,Positive
@leading_nowhere Also ur views on BOEPT business.. may be the case of over supply and margin contractions. Single use plastic ban can also make the situation worse.,Negative
@LPConsultingLtd Agrotain is only allowed if a nitrification inhibitor is also added from what I understand. But your point on ESN is valid. I think it is only due to the plastic coating. You would think our plastic straw ban would have fixed the world plastic issue😀,Negative
"Scotland has banned some of the most problematic single-use plastic products.

From cutlery to cups millions of plastic items are wasted every year.

By switching to reusable alternatives we can all help reduce litter and cut emissions.

For more ➡️ https://t.co/YkBiFA3KRa https://t.co/0u1Y3TR0jb",Positive
"@JamaicaObserver Anyways this government that claims to be a ""champion of the environment"" could ban plastic bags and straws but when the Russian owned company pollute the Rio Cobre!!! All we get is MATTHEW SAMUDA WALKING UP AND DOWN IN VIDEOS NO ACTION JUST CHATTING!!!",Negative
"Saying you want to reduce pollution and then not switching to electric is similar to promoting a plastic ban while using polythene garbage bags. 👩🏻‍🏫

#Switchtoelectric #Emobility #Electricvehicles #VerdeMobility #EVcharging #EVchargers #Pollution",Neutral
"@mike_horoho @meerkoenig1 @wowinteresting8 I'm not sure. It was really warm last night I had to put the fan up to medium. 

We need to ban all straws not just plastic ones if we want to cool the planet down.",Positive
We need #worldwide ban to curb millions of pounds of unnecessary disposable plastic in our national parks and other public lands where it can end up polluting these areas and cause threat to #blue economy. #climate #action #sustainable #Solutions #plastic #circulareconomy https://t.co/co8UHx5ugl,Negative
"""Finance Minister Chrystia Freeland in a July 26 2021 videoconference in Winnipeg said Canadians expected cabinet to use penalties if necessary to enforce the plastics ban. “We are working to have zero plastic waste by 2030” said Freeland.""

https://t.co/jO7rowMOcF",Negative
"@covid_parent Oh you mean the ""one time usage plastic ban""? Liberals : ""These are different""",Negative
"The real #ClimateScam is how Conservatives never fail to find the Con-job in a crisis. 
There's no bust water pipes it's climate change! 
Ban plastic bags? Of course not tax them!
Cut carbon emissions? Then how would you tax it?
Biofuel via farming waste? Have u heard of trees?",Positive
The bench asks the state why should not they air advertisements on private channels to make awareness about the plastic ban.,Neutral
"The judges claim that the soft approach of the government will not help to implement the ban. The government should ensure its machinery is enforcing the plastic ban. Once it is enforced the use of plastic could be banned. 

AAG says fines are enforced on violators.",Positive
On hearing a matter related to the ban on plastic items Justice S Vaidyanathan&amp; Justice PT Asha observe that in our everyday life we have been using plastic despite it being hazardous to health. The judges observe that even Sambar has been given in hot covers in hotels @dt_next,Positive
In late April 2022 the Los Angeles City Council voted to start the process of banning single-use plastics at city events and facilities and to consider a citywide ban on polystyrene products such as Styrofoam. ✅ https://t.co/UtlILDutNa,Negative
"🍺 “The Plastic Free Pint campaign wants there to be an outright ban on plastic pint cups such as those used at live sporting events and during
festivals…” Do you agree? https://t.co/1mG7utkHk9",Positive
Scotland’s single use plastic ban comes into force today! Find out more https://t.co/o41NKeiRGL https://t.co/ci2cadJRtW,Positive
@rodbishop15 I know people will disagree but they should ban bottled water. All the energy used to transport it.All the plastic waste. Very bad for the environment.,Negative
@ErikSolheim Thank God they didn't ban use of plastic bags. I had saved up hundreds in anticipation 😁,Neutral
"Scotland's single-use plastics ban is fully effective from today (12 August).

This means single-use plastic items listed below ⬇️ are banned in Scotland unless an exemption applies and it's unlawful to make and supply commercially these items.

More at: https://t.co/syUZfLogOD https://t.co/MnrVingEtw",Positive
"1. @NamugerwaLeah is a youth #climate leader from Uganda and organizer for @Fridays4FutureU known for leading tree planting campaigns and starting a campaign to enforce a plastic ban 🚫 

Watch her speech on the necessity of urban climate action here: https://t.co/GIGRW0ycaF https://t.co/ZggSc2Uhre",Positive
"https://t.co/CMHS3xEX0p
Ban plastic.",Neutral
"सवाल यह है कि उस प्लास्टिक कचरे का क्या किया जा रहा है जिसे अभी तक इकट्ठा किया जा रहा है - क्या उसे स्टोर किया जा रहा है या फिर कचरे के मैदान में फेंका जा रहा है.

✍️ @sunitanar 

https://t.co/TzZRXkSUTi",Neutral
Proud of our ongoing partnership with OzGreen one of 17 organisations helping to drive mass change when it comes to single use plastics. Read more https://t.co/6DcLFvvuE6 https://t.co/nIXCMEyDmC,Positive
@AntWBA88 @clur_roberts @DaveThroup @rachelkennedy84 Tax financial transactions tax air travel to subsidise train travel build cycle ways not roads build renewables build hospitals ban composite packaging materials ban light film materials remove prn's on plastic exports build prf's..etc etc.,Positive
"@ImWatson91 *looks at tattoos* these all made me happy. I'm more me with them than I was without them.

So why should cis people get to enjoy self expression through body modification but trans people should not?

Should we also ban plastic surgery for cis women ? No more boobjobs for anyone",Positive
I'm now regularly shopping in Burnaby simply to get a free plastic bag at the store. It's ridiculous but I'm running out with the stupid Vancouver ban.,Negative
'Teething problems' for NSW plastic bag ban as deadline looms for single-use cutlery and straws - ABC News https://t.co/sGAPW8zMDU,Neutral
"#plasticbags
Banned plastic bags readily available despite ban. Why not punish manufacturers and not others?",Positive
"This story outlines why efforts such as those of my local butcher are so important. Plastic producers are fighting the federal ban.
https://t.co/KMJER6W3n3
@DorisGrinspun @RNAO",Positive
"पॉलीथीन बाजार से नहीं हो रही खत्म

#Polythene #Ban #Plastic #Singleuseplastic https://t.co/w6shKv0XgZ",Neutral
"Why Trudeau’s ‘plastic ban’ is a painfully dumb idea https://t.co/TjbRwblhic via @YouTube 

 Drink Box Water Bottle https://t.co/CwBB5sUaXU via @YouTube",Negative
Plastic makers want the Federal Court to end the ban on single-use plastic items. https://t.co/MiIdKsb0nL via @RebelNewsOnline #Canada #Trudeau #Liberals #Cdnpoli #TrudeauMustGo #ClimateChange #GlobalWarming #JunkScience,Neutral
One of the things I love about my neighbourhood is the indep businesses that are taking progressive steps to protect our environment. Take the ban against single use plastics. It doesn't come into effect until Dec but our local butcher has already banned plastic bags. https://t.co/65f8jcqxSF,Positive
"Great conversation today on sustainability - and policies around sustainability.  

Single use plastic bags SB560 and the efforts by Judith Slang were discussed (Rep from Durham).  

I’m reviewing that attempt - NHPR provides good overview
https://t.co/vLqAq85WWD",Positive
On this day 12th of August 1984 while attending a peaceful March and democratic Rally in Andersonstown to mark the anniversary of Internment John  Downes was murdered by a cop plastic bullet..I never knew John he was related to my Granny..Ban Plastic Bullets..Irish lives matter☘️ https://t.co/PpO4eYnLHj,Positive
‘Teething problems’ for NSW plastic bag ban as deadline looms for single-use cutlery and straws https://t.co/HWX0jCKfnf,Neutral
@RebelNews_QC @RebelNewsOnline They should end the ban. What has it accomplished? Plastic face shields plastic barrier panels plastic needles I could go on. But give me my plastic straws back!!!,Positive
